組み合わせ,共起回数
"ない, 人, 個人, 問題, 差別, 社会",96
"ない, 人, 個人, 差別, 社会, 社会",48
"ない, 人, 個人, 問題, 社会, 社会",48
"ない, 人, 個人, 問題, 差別, 社会, 社会",48
"ない, 人, 個人, 差別, 差別, 差別",17
"ない, 人, 個人, 問題, 差別, 差別, 差別",40
"ない, 人, 個人, 問題, 差別, 差別",122
"ない, 人, 個人, 問題, 問題, 差別, 差別",240
"ない, 人, 個人, 問題, 差別",126
"ない, 人, 個人, 問題, 問題, 差別",241
"ない, 人, 個人, 問題",44
"ない, 人, 個人, 問題, 問題",81
"人, 個人, 社会",16
"人, 個人, 問題, 社会",80
"人, 個人, 差別, 社会",48
"人, 個人, 社会, 社会",24
"人, 個人, 問題, 差別, 社会",48
"人, 個人, 問題, 社会, 社会",24
"人, 個人, 差別, 社会, 社会",24
"人, 個人, 問題, 差別, 社会, 社会",24
"人, 個人, 問題, 問題",41
"人, 個人, 問題, 問題, 差別",121
"人, 個人, 問題, 問題, 問題",40
"人, 個人, 問題, 問題, 問題, 差別",40
"人, 個人, 問題, 差別",66
"人, 個人, 問題, 差別, 差別",62
"人, 個人, 差別",28
"人, 個人, 差別, 差別",29
"ない, 個人, 問題, 問題",43
"ない, 個人, 問題, 問題, 差別",123
"ない, 個人, 問題, 問題, 問題",40
"ない, 個人, 問題, 問題, 問題, 差別",40
"ない, 個人, 問題, 差別",68
"ない, 個人, 問題, 差別, 差別",61
"ない, 個人, 差別",29
"ない, 個人, 差別, 差別",28
"個人, 思う",18
"個人, 差別, 思う",12
"個人, 問題, 問題",25
"個人, 問題, 問題, 差別",63
"個人, 問題, 問題, 問題",20
"個人, 問題, 問題, 問題, 差別",20
"個人, 問題, 差別",38
"個人, 問題, 差別, 差別",31
"個人, 差別",30
"個人, 差別, 差別",31
"人間, 差別",11
"人間, 差別, 差別",10
"人間, 思う",14
"何, 知る",11
"知る, 自分",11
"思う, 知る",13
"人, 知る",14
"差別, 知る",18
"差別, 差別, 知る",15
"ほう, 男性",11
"いい, ほう",12
"ほう, 思う",19
"人, 考える",10
"人, 差別, 考える",14
"考える, 自分",12
"しまう, 差別, 考える",13
"しまう, 差別, 思う, 考える",17
"しまう, 思う, 考える",14
"思う, 考える",18
"差別, 思う, 考える",29
"差別, 考える",24
"差別, 差別, 考える",16
"何, 差別",12
"何, 差別, 差別",17
"何, 自分",14
"人, 何, 自分",13
"何, 思う",16
"人, 何",18
"やる, 思う, 言う",10
"ため, やる, 思う, 言う",16
"ため, やる, 言う",16
"ため, ため, やる, 言う",24
"やる, 見る",10
"ため, やる",10
"ため, やる, 自分",16
"ため, ため, やる",12
"ため, ため, やる, 自分",12
"みたい, やる",11
"みたい, やる, 人",10
"ない, やる",13
"やる, 自分",15
"やる, 人",16
"やる, 思う",17
"男性, 私",10
"しまう, 差別, 私",13
"しまう, 差別, 思う, 私",17
"しまう, 思う, 私",16
"私, 言う",14
"差別, 私",14
"思う, 私",19
"よう, 気",10
"人, 気",10
"女性, 気",10
"ない, 気",14
"ない, 差別, 気",15
"差別, 気",25
"差別, 差別, 気",28
"人, 批判",11
"問題, 批判",13
"問題, 思う, 批判",10
"ない, 批判",14
"ない, 差別, 批判",15
"思う, 批判",14
"差別, 批判",22
"差別, 差別, 批判",18
"ため, 問題",11
"ため, 問題, 自分",15
"ため, 自分, 言う",17
"ため, 差別, 言う",17
"ため, 差別, 自分, 言う",33
"ため, 人",16
"ため, 人, 自分",11
"ため, 自分, 自分",10
"ため, 差別, 自分, 自分",10
"ため, 差別, 自分",21
"ため, 差別, 差別, 自分",10
"ため, 思う",19
"ため, 差別, 思う",16
"ため, 思う, 自分",10
"ため, 差別, 思う, 自分",10
"ため, 差別",22
"もの, 社会",10
"もの, 差別, 社会",13
"それ, もの",10
"それ, もの, 思う",11
"もの, 言う",11
"もの, 差別, 言う",13
"ない, もの",12
"ない, もの, 差別",15
"もの, 思う",19
"もの, 差別, 思う",18
"もの, 差別",26
"もの, 差別, 差別",30
"化, 差別, 者",10
"人, 化, 差別, 者",16
"人, 化, 者",10
"主義, 化",10
"化, 問題",15
"化, 問題, 自分",15
"化, 差別, 自分",13
"化, 差別, 差別, 自分",10
"人, 化, 自分",13
"化, 思う",18
"化, 差別, 思う",12
"人, 化",19
"人, 化, 差別",13
"化, 差別",20
"化, 差別, 差別",12
"わかる, 的",11
"わかる, 差別",14
"わかる, 思う",14
"わかる, 人",16
"いう, 言う",10
"いう, 思う",13
"いう, 人",14
"いう, ない",16
"性, 自分",10
"問題, 性, 自分",17
"ない, 性",11
"人, 性",13
"思う, 性, 男性",12
"問題, 思う, 性, 男性",12
"問題, 性, 男性",15
"問題, 問題, 性, 男性",18
"性, 的",14
"思う, 性",14
"問題, 性",18
"問題, 問題, 性",15
"くる, 見る",10
"くる, 問題, 見る",12
"くる, 言う",11
"くる, 自分",13
"くる, 人, 自分",10
"くる, 問題, 問題",12
"くる, 問題, 問題, 自分",21
"くる, 問題, 自分",21
"くる, 思う",15
"くる, 差別, 思う",10
"くる, 人",17
"くる, 差別",17
"思う, 男性, 自分",14
"女性, 思う, 男性, 自分",24
"女性, 男性, 自分",17
"女性, 女性, 男性, 自分",13
"男性, 言う",12
"女性, 男性, 言う",18
"しまう, できる, 思う, 男性",14
"しまう, できる, 問題, 思う, 男性",24
"しまう, できる, 問題, 男性",24
"しまう, できる, 問題, 問題, 男性",36
"しまう, 問題, 思う, 男性",12
"しまう, 問題, 問題, 思う, 男性",18
"しまう, 問題, 問題, 男性",18
"しまう, 問題, 問題, 問題, 男性",12
"しまう, 思う, 男性",15
"できる, 思う, 男性",10
"できる, 問題, 思う, 男性",24
"できる, 男性, 男性",10
"できる, 問題, 男性, 男性",24
"できる, 問題, 男性",25
"できる, 問題, 問題, 男性",36
"思う, 男性, 男性",11
"問題, 思う, 男性, 男性",16
"女性, 男性, 男性",14
"問題, 男性, 男性",16
"問題, 問題, 男性, 男性",18
"思う, 男性, 社会",14
"問題, 思う, 男性, 社会",16
"問題, 男性, 社会",16
"問題, 問題, 男性, 社会",18
"差別, 思う, 男性",16
"女性, 差別, 思う, 男性",20
"女性, 差別, 男性",17
"女性, 女性, 差別, 男性",10
"問題, 女性, 男性",13
"問題, 女性, 思う, 男性",10
"問題, 問題, 男性",18
"問題, 問題, 思う, 男性",18
"問題, 問題, 問題, 男性",12
"問題, 問題, 問題, 思う, 男性",12
"問題, 思う, 男性",20
"思う, 思う, 男性",13
"女性, 思う, 思う, 男性",17
"女性, 思う, 男性",28
"女性, 女性, 思う, 男性",18
"女性, 男性",38
"女性, 女性, 男性",21
"思う, 日本",15
"よう, 言う",10
"よう, 差別, 言う",11
"しまう, よう",10
"しまう, よう, 思う",11
"よう, 問題",12
"よう, 思う",13
"ない, よう",13
"よう, 人",13
"よう, 差別",18
"よう, 差別, 差別",12
"できる, 自分",10
"できる, 差別, 思う, 的",11
"できる, 差別, 差別, 思う, 的",15
"できる, 差別, 差別, 的",15
"できる, 差別, 思う",12
"できる, 差別, 差別, 思う",12
"できる, 差別, 差別",12
"できる, 的",14
"できる, 思う",15
"できる, 問題, 思う",10
"できる, 問題",19
"できる, 問題, 問題",15
"主義, 言う",11
"主義, 的",11
"主義, 差別, 的",10
"ない, 主義",11
"ない, 主義, 差別",27
"主義, 主義, 思う",10
"主義, 主義, 差別, 思う",11
"主義, 主義, 差別",12
"主義, 主義, 差別, 差別",12
"主義, 問題",12
"主義, 主義, 問題",12
"しまう, 主義, 者",13
"しまう, 主義, 差別, 者",36
"しまう, 主義, 差別",27
"しまう, 主義, 差別, 差別",22
"主義, 人, 思う, 者",16
"主義, 人, 差別, 思う, 者",56
"主義, 人, 差別, 思う",32
"主義, 人, 差別, 差別, 思う",43
"主義, 人, 者, 者",10
"主義, 人, 差別, 者, 者",24
"主義, 人, 差別, 者",55
"主義, 人, 差別, 差別, 者",50
"主義, 人, 差別",35
"主義, 人, 差別, 差別",28
"主義, 思う, 者",20
"主義, 差別, 思う, 者",60
"主義, 差別, 思う",36
"主義, 差別, 差別, 思う",44
"主義, 者, 者",11
"主義, 差別, 者, 者",26
"主義, 差別, 者",84
"主義, 差別, 差別, 者",84
"主義, 差別",65
"主義, 差別, 差別",61
"みたい, 言う",12
"ない, みたい",13
"みたい, 差別",15
"みたい, 人",15
"みたい, 思う",15
"いい, 言う",10
"いい, 社会",11
"いい, 的",11
"いい, それ",11
"いい, 差別",13
"いい, 人",17
"いい, 思う",26
"○, いい",40
"○, ○, いい",380
"人, 女性, 女性, 思う",18
"人, 女性, 女性, 差別, 思う",54
"人, 女性, 女性, 差別",28
"人, 女性, 女性, 差別, 差別",36
"人, 女性, 思う",14
"人, 女性, 差別, 思う",38
"人, 女性, 差別",21
"人, 女性, 差別, 差別",24
"女性, 女性, 思う, 者",18
"女性, 女性, 差別, 思う, 者",51
"女性, 女性, 差別, 者",27
"女性, 女性, 差別, 差別, 者",36
"女性, 思う, 思う, 者",10
"女性, 差別, 思う, 思う, 者",16
"女性, 差別, 思う, 者",35
"女性, 差別, 差別, 思う, 者",48
"女性, 差別, 者",21
"女性, 差別, 差別, 者",25
"女性, 自分",13
"女性, 思う, 自分",22
"女性, 言う, 言う",11
"女性, 差別, 言う",15
"女性, 女性, 思う, 思う",15
"女性, 女性, 差別, 思う, 思う",27
"女性, 女性, 差別, 思う",57
"女性, 女性, 差別, 差別, 思う",72
"女性, 女性, 差別",31
"女性, 女性, 差別, 差別",36
"女性, 思う, 思う",21
"女性, 差別, 思う, 思う",21
"女性, 差別, 思う",47
"女性, 差別, 差別, 思う",51
"女性, 差別",41
"女性, 差別, 差別",34
"それ, 者",10
"それ, 差別, 者",18
"それ, 問題",11
"それ, 人, 差別, 思う",11
"それ, 人, 差別, 差別, 思う",15
"それ, 人, 差別, 差別",12
"それ, 人, 自分",14
"それ, 人, 思う, 自分",36
"それ, 人, 自分, 自分",12
"それ, 人, 思う, 自分, 自分",12
"それ, 人, 思う",15
"それ, 人, 思う, 思う",13
"それ, 自分, 言う",10
"それ, 思う, 自分, 言う",18
"それ, ない, 自分",12
"それ, ない, 思う, 自分",18
"それ, 思う, 自分",18
"それ, 思う, 思う, 自分",18
"それ, 差別, 言う",11
"それ, 差別, 思う, 言う",12
"それ, 思う, 言う",17
"それ, ない, 思う",11
"それ, ない, 差別",16
"それ, ない, 差別, 差別",18
"それ, 思う, 思う",16
"それ, 差別, 思う, 思う",16
"それ, 差別, 思う",41
"それ, 差別, 差別, 思う",35
"それ, 差別",38
"それ, 差別, 差別",30
"しまう, 差別, 社会",11
"しまう, 差別, 差別, 社会",10
"しまう, 思う, 社会",12
"社会, 見る",10
"思う, 社会, 見る",10
"思う, 社会, 者",12
"差別, 思う, 社会, 者",22
"差別, 社会, 者",21
"差別, 差別, 社会, 者",25
"問題, 問題, 的, 社会",12
"問題, 問題, 差別, 的, 社会",24
"問題, 差別, 的, 社会",21
"問題, 差別, 差別, 的, 社会",12
"差別, 的, 社会",12
"ない, 人, 社会, 社会",24
"ない, 人, 差別, 社会, 社会",72
"ない, 人, 問題, 社会, 社会",120
"ない, ない, 人, 社会, 社会",12
"ない, 人, 問題, 差別, 社会, 社会",72
"ない, ない, 人, 差別, 社会, 社会",12
"ない, ない, 人, 問題, 社会, 社会",12
"ない, ない, 人, 問題, 差別, 社会, 社会",12
"人, 差別, 差別, 社会, 社会",37
"人, 問題, 差別, 差別, 社会, 社会",184
"人, 差別, 差別, 差別, 社会, 社会",12
"人, 問題, 差別, 差別, 差別, 社会, 社会",12
"人, 問題, 差別, 社会, 社会",188
"人, 問題, 問題, 差別, 社会, 社会",372
"人, 問題, 社会, 社会",65
"人, 問題, 問題, 社会, 社会",126
"ない, 社会, 社会",15
"ない, 差別, 社会, 社会",36
"ない, 問題, 社会, 社会",60
"ない, 問題, 差別, 社会, 社会",36
"差別, 差別, 社会, 社会",19
"問題, 差別, 差別, 社会, 社会",94
"問題, 差別, 社会, 社会",98
"問題, 問題, 差別, 社会, 社会",192
"問題, 社会, 社会",36
"問題, 問題, 社会, 社会",66
"社会, 自分",14
"思う, 社会, 自分",16
"ない, 人, 人, 社会",14
"ない, 人, 人, 差別, 社会",24
"ない, 人, 人, 問題, 社会",40
"ない, 人, 人, 問題, 差別, 社会",24
"ない, 人, 差別, 差別, 差別, 社会",17
"ない, 人, 問題, 差別, 差別, 差別, 社会",80
"ない, 人, 問題, 差別, 差別, 社会",240
"ない, 人, 問題, 問題, 差別, 差別, 社会",480
"ない, 人, 問題, 差別, 社会",240
"ない, 人, 問題, 問題, 差別, 社会",480
"ない, 人, 問題, 社会",80
"ない, 人, 問題, 問題, 社会",160
"ない, 差別, 差別, 差別, 社会",13
"ない, 問題, 差別, 差別, 差別, 社会",40
"ない, 問題, 差別, 差別, 社会",120
"ない, 問題, 問題, 差別, 差別, 社会",240
"ない, 問題, 差別, 社会",120
"ない, 問題, 問題, 差別, 社会",240
"ない, 問題, 社会",40
"ない, 問題, 問題, 社会",80
"人, 思う, 社会",10
"人, 差別, 思う, 社会",12
"人, 差別, 差別, 差別, 社会",13
"人, 問題, 差別, 差別, 差別, 社会",40
"人, 問題, 差別, 差別, 社会",128
"人, 問題, 問題, 差別, 差別, 社会",252
"人, 問題, 差別, 社会",136
"人, 問題, 問題, 差別, 社会",264
"人, 問題, 社会",51
"人, 問題, 問題, 社会",92
"問題, 思う, 社会",13
"差別, 思う, 社会",22
"差別, 差別, 思う, 社会",23
"問題, 問題, 問題, 問題, 社会",23
"問題, 問題, 問題, 問題, 差別, 社会",64
"問題, 問題, 問題, 差別, 社会",136
"問題, 問題, 問題, 差別, 差別, 社会",128
"問題, 問題, 差別, 社会",144
"問題, 問題, 差別, 差別, 社会",132
"問題, 差別, 社会",83
"問題, 差別, 差別, 社会",73
"差別, 社会",47
"差別, 差別, 社会",42
"しまう, 問題",12
"しまう, 問題, 思う",13
"しまう, ない, 思う",12
"しまう, ない, 差別",15
"しまう, ない, 差別, 差別",18
"しまう, 者",15
"しまう, 差別, 者",27
"しまう, 人, 思う",14
"しまう, 人, 差別, 思う",11
"しまう, 人, 差別",15
"しまう, 思う, 思う",10
"しまう, 差別, 思う",27
"しまう, 差別, 差別, 思う",12
"しまう, 差別",37
"しまう, 差別, 差別",21
"見る, 言う",10
"差別, 見る",11
"人, 問題, 見る",10
"人, 問題, 自分, 見る",14
"問題, 自分, 見る",16
"ない, 自分, 見る",11
"ない, 人, 自分, 見る",19
"ない, 人, 見る",13
"自分, 自分, 見る",11
"人, 自分, 自分, 見る",15
"思う, 自分, 見る",11
"人, 自分, 見る",24
"人, 見る",26
"人, 思う, 見る",13
"思う, 見る",30
"者, 者",10
"差別, 者, 者",15
"者, 自分",10
"的, 者",13
"差別, 的, 者",13
"者, 言う",20
"人, 者, 言う",13
"人, 思う, 者",18
"人, 差別, 思う, 者",35
"差別, 思う, 者",40
"差別, 差別, 思う, 者",45
"人, 人, 者",16
"人, 人, 差別, 者",15
"人, 差別, 者",44
"人, 差別, 差別, 者",32
"差別, 者",69
"差別, 差別, 者",60
"差別, 的, 自分",10
"差別, 差別, 的, 自分",12
"思う, 的, 自分",10
"人, 自分, 言う",10
"人, 思う, 自分, 言う",20
"ない, 自分, 言う",11
"ない, 思う, 自分, 言う",11
"思う, 自分, 言う",16
"差別, 自分, 言う",18
"差別, 差別, 自分, 言う",16
"思う, 思う, 自分, 自分",12
"人, 思う, 思う, 自分, 自分",18
"人, 思う, 自分, 自分",18
"人, 自分, 自分",16
"ない, 差別, 自分",17
"ない, 差別, 差別, 自分",24
"ない, 思う, 自分",17
"ない, 人, 思う, 自分",27
"ない, 人, 自分",25
"ない, 人, 人, 自分",11
"差別, 思う, 自分",17
"差別, 差別, 思う, 自分",10
"差別, 差別, 自分",23
"差別, 差別, 差別, 自分",12
"問題, 問題, 自分",18
"人, 問題, 問題, 自分",14
"人, 問題, 自分",19
"人, 人, 自分",13
"人, 人, 思う, 自分",14
"人, 思う, 自分",32
"人, 思う, 思う, 自分",19
"思う, 自分",46
"思う, 思う, 自分",17
"的, 言う",14
"問題, 問題, 的",10
"問題, 問題, 差別, 的",12
"問題, 思う, 的",12
"問題, 差別, 的",16
"ない, 差別, 的",10
"ない, 差別, 差別, 的",13
"ない, 思う, 的",12
"ない, 人, 思う, 的",12
"ない, 人, 的",17
"ない, 人, 人, 的",14
"人, 思う, 的",15
"人, 人, 的",19
"人, 差別, 的",22
"人, 差別, 差別, 的",16
"思う, 的",38
"差別, 思う, 的",17
"差別, 的",39
"差別, 差別, 的",29
"問題, 言う",16
"ない, 人, 人, 問題",11
"ない, 人, 人, 問題, 差別",32
"ない, 人, 人, 問題, 問題",20
"ない, 人, 人, 問題, 問題, 差別",20
"ない, 人, 問題, 問題",41
"ない, 人, 問題, 問題, 差別",121
"ない, 人, 問題, 問題, 問題",40
"ない, 人, 問題, 問題, 問題, 差別",40
"ない, 人, 問題, 差別",67
"ない, 人, 問題, 差別, 差別",62
"ない, 問題, 問題, 問題",21
"ない, 問題, 問題, 問題, 差別",60
"ない, 問題, 問題, 問題, 問題",10
"ない, 問題, 問題, 問題, 問題, 差別",10
"ない, 問題, 問題, 差別",62
"ない, 問題, 問題, 差別, 差別",60
"ない, 問題, 差別",39
"ない, 問題, 差別, 差別",31
"人, 問題, 問題, 問題, 問題",11
"人, 問題, 問題, 問題, 問題, 差別",32
"人, 問題, 問題, 問題, 差別",68
"人, 問題, 問題, 問題, 差別, 差別",64
"人, 問題, 問題, 差別",73
"人, 問題, 問題, 差別, 差別",66
"人, 問題, 差別",50
"人, 問題, 差別, 差別",38
"問題, 問題, 思う",14
"問題, 問題, 問題",21
"問題, 問題, 問題, 差別",38
"問題, 問題, 差別",47
"問題, 問題, 差別, 差別",39
"問題, 思う, 思う",10
"問題, 差別, 思う",24
"問題, 差別",66
"問題, 差別, 差別",40
"言う, 言う",16
"差別, 言う, 言う",16
"ない, 人, 言う",12
"ない, 差別, 言う",23
"ない, 差別, 差別, 言う",27
"人, 差別, 言う",12
"人, 人, 言う",16
"差別, 思う, 言う",16
"人, 思う, 言う",16
"差別, 言う",50
"差別, 差別, 言う",35
"ない, ない, 差別",12
"ない, ない, 差別, 差別",15
"ない, ない, 人",13
"ない, 差別, 思う",10
"ない, 人, 思う",29
"ない, 人, 人, 思う",14
"ない, 人, 人",23
"ない, 人, 差別",29
"ない, 人, 差別, 差別",26
"ない, 差別",59
"ない, 差別, 差別",67
"人, 人, 差別",17
"人, 人, 思う",17
"人, 思う, 思う",19
"人, 差別, 思う, 思う",12
"人, 差別, 思う",36
"人, 差別, 差別, 思う",37
"人, 差別",76
"人, 差別, 差別",47
"差別, 思う, 思う",22
"差別, 差別, 思う, 思う",17
"差別, 差別, 思う",62
"差別, 差別, 差別, 思う",27
"差別, 差別",127
"差別, 差別, 差別",56
"思う, 思う",39
"○, ○",9622
